group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,step 1[s = 4],,,,1049772.0,ns,15
Sequential Blind Schnorr,step 1[s = 4],,,,2093676.0,ns,30
Sequential Blind Schnorr,step 1[s = 4],,,,3140968.0,ns,45
Sequential Blind Schnorr,step 1[s = 4],,,,4183371.0,ns,60
Sequential Blind Schnorr,step 1[s = 4],,,,5236473.0,ns,75
Sequential Blind Schnorr,step 1[s = 4],,,,6286847.0,ns,90
Sequential Blind Schnorr,step 1[s = 4],,,,7341339.0,ns,105
Sequential Blind Schnorr,step 1[s = 4],,,,8380721.0,ns,120
Sequential Blind Schnorr,step 1[s = 4],,,,9422675.0,ns,135
Sequential Blind Schnorr,step 1[s = 4],,,,10479247.0,ns,150
Sequential Blind Schnorr,step 1[s = 4],,,,11525091.0,ns,165
Sequential Blind Schnorr,step 1[s = 4],,,,12563202.0,ns,180
Sequential Blind Schnorr,step 1[s = 4],,,,13605985.0,ns,195
Sequential Blind Schnorr,step 1[s = 4],,,,14679719.0,ns,210
Sequential Blind Schnorr,step 1[s = 4],,,,15696680.0,ns,225
Sequential Blind Schnorr,step 1[s = 4],,,,16778894.0,ns,240
Sequential Blind Schnorr,step 1[s = 4],,,,17822477.0,ns,255
Sequential Blind Schnorr,step 1[s = 4],,,,18823048.0,ns,270
Sequential Blind Schnorr,step 1[s = 4],,,,19921162.0,ns,285
Sequential Blind Schnorr,step 1[s = 4],,,,20927674.0,ns,300
Sequential Blind Schnorr,step 1[s = 4],,,,22004838.0,ns,315
Sequential Blind Schnorr,step 1[s = 4],,,,23044979.0,ns,330
Sequential Blind Schnorr,step 1[s = 4],,,,24088763.0,ns,345
Sequential Blind Schnorr,step 1[s = 4],,,,25127274.0,ns,360
Sequential Blind Schnorr,step 1[s = 4],,,,26204699.0,ns,375
Sequential Blind Schnorr,step 1[s = 4],,,,27245381.0,ns,390
Sequential Blind Schnorr,step 1[s = 4],,,,28262964.0,ns,405
Sequential Blind Schnorr,step 1[s = 4],,,,29324176.0,ns,420
Sequential Blind Schnorr,step 1[s = 4],,,,30386269.0,ns,435
Sequential Blind Schnorr,step 1[s = 4],,,,31421241.0,ns,450
Sequential Blind Schnorr,step 1[s = 4],,,,32455965.0,ns,465
Sequential Blind Schnorr,step 1[s = 4],,,,33508176.0,ns,480
Sequential Blind Schnorr,step 1[s = 4],,,,34560330.0,ns,495
Sequential Blind Schnorr,step 1[s = 4],,,,35622963.0,ns,510
Sequential Blind Schnorr,step 1[s = 4],,,,36658494.0,ns,525
Sequential Blind Schnorr,step 1[s = 4],,,,37721419.0,ns,540
Sequential Blind Schnorr,step 1[s = 4],,,,38742181.0,ns,555
Sequential Blind Schnorr,step 1[s = 4],,,,39805523.0,ns,570
Sequential Blind Schnorr,step 1[s = 4],,,,40847686.0,ns,585
Sequential Blind Schnorr,step 1[s = 4],,,,41891499.0,ns,600
Sequential Blind Schnorr,step 1[s = 4],,,,42927311.0,ns,615
Sequential Blind Schnorr,step 1[s = 4],,,,43970304.0,ns,630
Sequential Blind Schnorr,step 1[s = 4],,,,45016227.0,ns,645
Sequential Blind Schnorr,step 1[s = 4],,,,46052638.0,ns,660
Sequential Blind Schnorr,step 1[s = 4],,,,47109883.0,ns,675
Sequential Blind Schnorr,step 1[s = 4],,,,48227415.0,ns,690
Sequential Blind Schnorr,step 1[s = 4],,,,49228058.0,ns,705
Sequential Blind Schnorr,step 1[s = 4],,,,50275981.0,ns,720
Sequential Blind Schnorr,step 1[s = 4],,,,51304453.0,ns,735
Sequential Blind Schnorr,step 1[s = 4],,,,52348455.0,ns,750
Sequential Blind Schnorr,step 1[s = 4],,,,53437830.0,ns,765
Sequential Blind Schnorr,step 1[s = 4],,,,54454271.0,ns,780
Sequential Blind Schnorr,step 1[s = 4],,,,55538974.0,ns,795
Sequential Blind Schnorr,step 1[s = 4],,,,56562887.0,ns,810
Sequential Blind Schnorr,step 1[s = 4],,,,57595230.0,ns,825
Sequential Blind Schnorr,step 1[s = 4],,,,58624681.0,ns,840
Sequential Blind Schnorr,step 1[s = 4],,,,59719396.0,ns,855
Sequential Blind Schnorr,step 1[s = 4],,,,60723858.0,ns,870
Sequential Blind Schnorr,step 1[s = 4],,,,61776389.0,ns,885
Sequential Blind Schnorr,step 1[s = 4],,,,62853213.0,ns,900
Sequential Blind Schnorr,step 1[s = 4],,,,63921897.0,ns,915
Sequential Blind Schnorr,step 1[s = 4],,,,64948329.0,ns,930
Sequential Blind Schnorr,step 1[s = 4],,,,66025282.0,ns,945
Sequential Blind Schnorr,step 1[s = 4],,,,67065955.0,ns,960
Sequential Blind Schnorr,step 1[s = 4],,,,68117857.0,ns,975
Sequential Blind Schnorr,step 1[s = 4],,,,69112630.0,ns,990
