group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,step 2[s = 1],,,,1058753.0,ns,12
Sequential Blind Schnorr,step 2[s = 1],,,,2124285.0,ns,24
Sequential Blind Schnorr,step 2[s = 1],,,,3182149.0,ns,36
Sequential Blind Schnorr,step 2[s = 1],,,,4246572.0,ns,48
Sequential Blind Schnorr,step 2[s = 1],,,,5302304.0,ns,60
Sequential Blind Schnorr,step 2[s = 1],,,,6362498.0,ns,72
Sequential Blind Schnorr,step 2[s = 1],,,,7424129.0,ns,84
Sequential Blind Schnorr,step 2[s = 1],,,,8482944.0,ns,96
Sequential Blind Schnorr,step 2[s = 1],,,,9544766.0,ns,108
Sequential Blind Schnorr,step 2[s = 1],,,,10603308.0,ns,120
Sequential Blind Schnorr,step 2[s = 1],,,,11667682.0,ns,132
Sequential Blind Schnorr,step 2[s = 1],,,,12725544.0,ns,144
Sequential Blind Schnorr,step 2[s = 1],,,,13787497.0,ns,156
Sequential Blind Schnorr,step 2[s = 1],,,,14841632.0,ns,168
Sequential Blind Schnorr,step 2[s = 1],,,,15902172.0,ns,180
Sequential Blind Schnorr,step 2[s = 1],,,,16974267.0,ns,192
Sequential Blind Schnorr,step 2[s = 1],,,,18034359.0,ns,204
Sequential Blind Schnorr,step 2[s = 1],,,,19094852.0,ns,216
Sequential Blind Schnorr,step 2[s = 1],,,,20148414.0,ns,228
Sequential Blind Schnorr,step 2[s = 1],,,,21205708.0,ns,240
Sequential Blind Schnorr,step 2[s = 1],,,,22260150.0,ns,252
Sequential Blind Schnorr,step 2[s = 1],,,,23345903.0,ns,264
Sequential Blind Schnorr,step 2[s = 1],,,,24401467.0,ns,276
Sequential Blind Schnorr,step 2[s = 1],,,,25461169.0,ns,288
Sequential Blind Schnorr,step 2[s = 1],,,,26503452.0,ns,300
Sequential Blind Schnorr,step 2[s = 1],,,,27583405.0,ns,312
Sequential Blind Schnorr,step 2[s = 1],,,,28621467.0,ns,324
Sequential Blind Schnorr,step 2[s = 1],,,,29705972.0,ns,336
Sequential Blind Schnorr,step 2[s = 1],,,,30771143.0,ns,348
Sequential Blind Schnorr,step 2[s = 1],,,,31814226.0,ns,360
Sequential Blind Schnorr,step 2[s = 1],,,,32889450.0,ns,372
Sequential Blind Schnorr,step 2[s = 1],,,,33943352.0,ns,384
Sequential Blind Schnorr,step 2[s = 1],,,,34994385.0,ns,396
Sequential Blind Schnorr,step 2[s = 1],,,,36056758.0,ns,408
Sequential Blind Schnorr,step 2[s = 1],,,,37116721.0,ns,420
Sequential Blind Schnorr,step 2[s = 1],,,,38176593.0,ns,432
Sequential Blind Schnorr,step 2[s = 1],,,,39250117.0,ns,444
Sequential Blind Schnorr,step 2[s = 1],,,,40312380.0,ns,456
Sequential Blind Schnorr,step 2[s = 1],,,,41367462.0,ns,468
Sequential Blind Schnorr,step 2[s = 1],,,,42419895.0,ns,480
Sequential Blind Schnorr,step 2[s = 1],,,,43475458.0,ns,492
Sequential Blind Schnorr,step 2[s = 1],,,,44551501.0,ns,504
Sequential Blind Schnorr,step 2[s = 1],,,,45583633.0,ns,516
Sequential Blind Schnorr,step 2[s = 1],,,,46668457.0,ns,528
Sequential Blind Schnorr,step 2[s = 1],,,,47709999.0,ns,540
Sequential Blind Schnorr,step 2[s = 1],,,,48764112.0,ns,552
Sequential Blind Schnorr,step 2[s = 1],,,,49845966.0,ns,564
Sequential Blind Schnorr,step 2[s = 1],,,,50924298.0,ns,576
Sequential Blind Schnorr,step 2[s = 1],,,,51962532.0,ns,588
Sequential Blind Schnorr,step 2[s = 1],,,,53031574.0,ns,600
Sequential Blind Schnorr,step 2[s = 1],,,,54091357.0,ns,612
Sequential Blind Schnorr,step 2[s = 1],,,,55157600.0,ns,624
Sequential Blind Schnorr,step 2[s = 1],,,,56210982.0,ns,636
Sequential Blind Schnorr,step 2[s = 1],,,,57283645.0,ns,648
Sequential Blind Schnorr,step 2[s = 1],,,,58338019.0,ns,660
Sequential Blind Schnorr,step 2[s = 1],,,,59384692.0,ns,672
Sequential Blind Schnorr,step 2[s = 1],,,,60437854.0,ns,684
Sequential Blind Schnorr,step 2[s = 1],,,,61511356.0,ns,696
Sequential Blind Schnorr,step 2[s = 1],,,,62547010.0,ns,708
Sequential Blind Schnorr,step 2[s = 1],,,,63656463.0,ns,720
Sequential Blind Schnorr,step 2[s = 1],,,,64702036.0,ns,732
Sequential Blind Schnorr,step 2[s = 1],,,,65751138.0,ns,744
Sequential Blind Schnorr,step 2[s = 1],,,,66830702.0,ns,756
Sequential Blind Schnorr,step 2[s = 1],,,,67871154.0,ns,768
Sequential Blind Schnorr,step 2[s = 1],,,,68940577.0,ns,780
Sequential Blind Schnorr,step 2[s = 1],,,,69992360.0,ns,792
Sequential Blind Schnorr,step 2[s = 1],,,,71067104.0,ns,804
Sequential Blind Schnorr,step 2[s = 1],,,,72265788.0,ns,816
Sequential Blind Schnorr,step 2[s = 1],,,,73199789.0,ns,828
Sequential Blind Schnorr,step 2[s = 1],,,,74236922.0,ns,840
Sequential Blind Schnorr,step 2[s = 1],,,,75305024.0,ns,852
Sequential Blind Schnorr,step 2[s = 1],,,,76351568.0,ns,864
Sequential Blind Schnorr,step 2[s = 1],,,,77441611.0,ns,876
Sequential Blind Schnorr,step 2[s = 1],,,,78473602.0,ns,888
Sequential Blind Schnorr,step 2[s = 1],,,,79539286.0,ns,900
Sequential Blind Schnorr,step 2[s = 1],,,,80626729.0,ns,912
Sequential Blind Schnorr,step 2[s = 1],,,,81679492.0,ns,924
Sequential Blind Schnorr,step 2[s = 1],,,,82742295.0,ns,936
Sequential Blind Schnorr,step 2[s = 1],,,,83822899.0,ns,948
Sequential Blind Schnorr,step 2[s = 1],,,,84844450.0,ns,960
Sequential Blind Schnorr,step 2[s = 1],,,,85912924.0,ns,972
Sequential Blind Schnorr,step 2[s = 1],,,,87520467.0,ns,984
Sequential Blind Schnorr,step 2[s = 1],,,,88045080.0,ns,996
Sequential Blind Schnorr,step 2[s = 1],,,,89110042.0,ns,1008
Sequential Blind Schnorr,step 2[s = 1],,,,90661436.0,ns,1020
Sequential Blind Schnorr,step 2[s = 1],,,,91262279.0,ns,1032
Sequential Blind Schnorr,step 2[s = 1],,,,92306892.0,ns,1044
Sequential Blind Schnorr,step 2[s = 1],,,,93376484.0,ns,1056
Sequential Blind Schnorr,step 2[s = 1],,,,94432237.0,ns,1068
Sequential Blind Schnorr,step 2[s = 1],,,,95499810.0,ns,1080
Sequential Blind Schnorr,step 2[s = 1],,,,96540982.0,ns,1092
Sequential Blind Schnorr,step 2[s = 1],,,,97601506.0,ns,1104
Sequential Blind Schnorr,step 2[s = 1],,,,98676859.0,ns,1116
Sequential Blind Schnorr,step 2[s = 1],,,,99742932.0,ns,1128
Sequential Blind Schnorr,step 2[s = 1],,,,100808464.0,ns,1140
Sequential Blind Schnorr,step 2[s = 1],,,,101879538.0,ns,1152
Sequential Blind Schnorr,step 2[s = 1],,,,102910550.0,ns,1164
Sequential Blind Schnorr,step 2[s = 1],,,,103988044.0,ns,1176
Sequential Blind Schnorr,step 2[s = 1],,,,105039506.0,ns,1188
Sequential Blind Schnorr,step 2[s = 1],,,,106118379.0,ns,1200
