group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,step 4[s = 16],,,,1374859.0,ns,1
Sequential Blind Schnorr,step 4[s = 16],,,,2728479.0,ns,2
Sequential Blind Schnorr,step 4[s = 16],,,,4080678.0,ns,3
Sequential Blind Schnorr,step 4[s = 16],,,,5446578.0,ns,4
Sequential Blind Schnorr,step 4[s = 16],,,,6797796.0,ns,5
Sequential Blind Schnorr,step 4[s = 16],,,,8174716.0,ns,6
Sequential Blind Schnorr,step 4[s = 16],,,,9525226.0,ns,7
Sequential Blind Schnorr,step 4[s = 16],,,,10886935.0,ns,8
Sequential Blind Schnorr,step 4[s = 16],,,,12261365.0,ns,9
Sequential Blind Schnorr,step 4[s = 16],,,,13608303.0,ns,10
Sequential Blind Schnorr,step 4[s = 16],,,,14983994.0,ns,11
Sequential Blind Schnorr,step 4[s = 16],,,,16341272.0,ns,12
Sequential Blind Schnorr,step 4[s = 16],,,,17690432.0,ns,13
Sequential Blind Schnorr,step 4[s = 16],,,,19080201.0,ns,14
Sequential Blind Schnorr,step 4[s = 16],,,,20417740.0,ns,15
Sequential Blind Schnorr,step 4[s = 16],,,,21780451.0,ns,16
Sequential Blind Schnorr,step 4[s = 16],,,,23136509.0,ns,17
Sequential Blind Schnorr,step 4[s = 16],,,,24517289.0,ns,18
Sequential Blind Schnorr,step 4[s = 16],,,,25849948.0,ns,19
Sequential Blind Schnorr,step 4[s = 16],,,,27219997.0,ns,20
Sequential Blind Schnorr,step 4[s = 16],,,,28568866.0,ns,21
Sequential Blind Schnorr,step 4[s = 16],,,,29954366.0,ns,22
Sequential Blind Schnorr,step 4[s = 16],,,,31319755.0,ns,23
Sequential Blind Schnorr,step 4[s = 16],,,,32673496.0,ns,24
Sequential Blind Schnorr,step 4[s = 16],,,,34024944.0,ns,25
Sequential Blind Schnorr,step 4[s = 16],,,,35398803.0,ns,26
Sequential Blind Schnorr,step 4[s = 16],,,,36746203.0,ns,27
Sequential Blind Schnorr,step 4[s = 16],,,,38106842.0,ns,28
Sequential Blind Schnorr,step 4[s = 16],,,,39461681.0,ns,29
Sequential Blind Schnorr,step 4[s = 16],,,,40837181.0,ns,30
