group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parallel Abe,step 2[s = 1],,,,4495726.0,ns,7
Parallel Abe,step 2[s = 1],,,,8960073.0,ns,14
Parallel Abe,step 2[s = 1],,,,13487109.0,ns,21
Parallel Abe,step 2[s = 1],,,,17931454.0,ns,28
Parallel Abe,step 2[s = 1],,,,22498984.0,ns,35
Parallel Abe,step 2[s = 1],,,,27037339.0,ns,42
Parallel Abe,step 2[s = 1],,,,31440085.0,ns,49
Parallel Abe,step 2[s = 1],,,,35983632.0,ns,56
Parallel Abe,step 2[s = 1],,,,40587971.0,ns,63
Parallel Abe,step 2[s = 1],,,,44954685.0,ns,70
Parallel Abe,step 2[s = 1],,,,49543012.0,ns,77
Parallel Abe,step 2[s = 1],,,,53945397.0,ns,84
Parallel Abe,step 2[s = 1],,,,58454254.0,ns,91
Parallel Abe,step 2[s = 1],,,,63017823.0,ns,98
Parallel Abe,step 2[s = 1],,,,67411815.0,ns,105
Parallel Abe,step 2[s = 1],,,,72106878.0,ns,112
Parallel Abe,step 2[s = 1],,,,76405079.0,ns,119
Parallel Abe,step 2[s = 1],,,,80894136.0,ns,126
Parallel Abe,step 2[s = 1],,,,85257269.0,ns,133
Parallel Abe,step 2[s = 1],,,,89889338.0,ns,140
Parallel Abe,step 2[s = 1],,,,94228231.0,ns,147
Parallel Abe,step 2[s = 1],,,,98968934.0,ns,154
Parallel Abe,step 2[s = 1],,,,103286426.0,ns,161
Parallel Abe,step 2[s = 1],,,,107697420.0,ns,168
Parallel Abe,step 2[s = 1],,,,112461063.0,ns,175
Parallel Abe,step 2[s = 1],,,,116638812.0,ns,182
Parallel Abe,step 2[s = 1],,,,121159110.0,ns,189
Parallel Abe,step 2[s = 1],,,,125643835.0,ns,196
Parallel Abe,step 2[s = 1],,,,130276215.0,ns,203
Parallel Abe,step 2[s = 1],,,,134973906.0,ns,210
Parallel Abe,step 2[s = 1],,,,139799399.0,ns,217
Parallel Abe,step 2[s = 1],,,,143667682.0,ns,224
Parallel Abe,step 2[s = 1],,,,148487726.0,ns,231
Parallel Abe,step 2[s = 1],,,,152833829.0,ns,238
Parallel Abe,step 2[s = 1],,,,157913137.0,ns,245
Parallel Abe,step 2[s = 1],,,,161710880.0,ns,252
Parallel Abe,step 2[s = 1],,,,166284257.0,ns,259
Parallel Abe,step 2[s = 1],,,,170912237.0,ns,266
Parallel Abe,step 2[s = 1],,,,175257180.0,ns,273
Parallel Abe,step 2[s = 1],,,,180348809.0,ns,280
Parallel Abe,step 2[s = 1],,,,184338824.0,ns,287
Parallel Abe,step 2[s = 1],,,,189030536.0,ns,294
Parallel Abe,step 2[s = 1],,,,193141434.0,ns,301
Parallel Abe,step 2[s = 1],,,,197483836.0,ns,308
Parallel Abe,step 2[s = 1],,,,202002704.0,ns,315
Parallel Abe,step 2[s = 1],,,,206591543.0,ns,322
Parallel Abe,step 2[s = 1],,,,211509648.0,ns,329
Parallel Abe,step 2[s = 1],,,,215604435.0,ns,336
Parallel Abe,step 2[s = 1],,,,220005959.0,ns,343
Parallel Abe,step 2[s = 1],,,,224733881.0,ns,350
Parallel Abe,step 2[s = 1],,,,229251068.0,ns,357
Parallel Abe,step 2[s = 1],,,,233612842.0,ns,364
Parallel Abe,step 2[s = 1],,,,237820592.0,ns,371
Parallel Abe,step 2[s = 1],,,,242775749.0,ns,378
Parallel Abe,step 2[s = 1],,,,247004949.0,ns,385
Parallel Abe,step 2[s = 1],,,,251619618.0,ns,392
Parallel Abe,step 2[s = 1],,,,257069591.0,ns,399
Parallel Abe,step 2[s = 1],,,,260733483.0,ns,406
Parallel Abe,step 2[s = 1],,,,265140126.0,ns,413
Parallel Abe,step 2[s = 1],,,,269481180.0,ns,420
Parallel Abe,step 2[s = 1],,,,273847692.0,ns,427
Parallel Abe,step 2[s = 1],,,,278352668.0,ns,434
Parallel Abe,step 2[s = 1],,,,283104300.0,ns,441
Parallel Abe,step 2[s = 1],,,,287527265.0,ns,448
Parallel Abe,step 2[s = 1],,,,291684933.0,ns,455
Parallel Abe,step 2[s = 1],,,,296389803.0,ns,462
Parallel Abe,step 2[s = 1],,,,301136955.0,ns,469
Parallel Abe,step 2[s = 1],,,,305403345.0,ns,476
Parallel Abe,step 2[s = 1],,,,309855141.0,ns,483
Parallel Abe,step 2[s = 1],,,,314623412.0,ns,490
Parallel Abe,step 2[s = 1],,,,319206970.0,ns,497
Parallel Abe,step 2[s = 1],,,,323086983.0,ns,504
Parallel Abe,step 2[s = 1],,,,327524608.0,ns,511
Parallel Abe,step 2[s = 1],,,,332340720.0,ns,518
Parallel Abe,step 2[s = 1],,,,336740324.0,ns,525
Parallel Abe,step 2[s = 1],,,,341531377.0,ns,532
Parallel Abe,step 2[s = 1],,,,345706275.0,ns,539
Parallel Abe,step 2[s = 1],,,,350436476.0,ns,546
Parallel Abe,step 2[s = 1],,,,355064876.0,ns,553
Parallel Abe,step 2[s = 1],,,,359251924.0,ns,560
Parallel Abe,step 2[s = 1],,,,364092648.0,ns,567
Parallel Abe,step 2[s = 1],,,,368414980.0,ns,574
Parallel Abe,step 2[s = 1],,,,372608339.0,ns,581
Parallel Abe,step 2[s = 1],,,,377214308.0,ns,588
Parallel Abe,step 2[s = 1],,,,382710985.0,ns,595
Parallel Abe,step 2[s = 1],,,,386664340.0,ns,602
Parallel Abe,step 2[s = 1],,,,391159495.0,ns,609
Parallel Abe,step 2[s = 1],,,,395122989.0,ns,616
Parallel Abe,step 2[s = 1],,,,399478333.0,ns,623
Parallel Abe,step 2[s = 1],,,,404207223.0,ns,630
Parallel Abe,step 2[s = 1],,,,408959526.0,ns,637
Parallel Abe,step 2[s = 1],,,,413754487.0,ns,644
Parallel Abe,step 2[s = 1],,,,418021868.0,ns,651
Parallel Abe,step 2[s = 1],,,,422332511.0,ns,658
Parallel Abe,step 2[s = 1],,,,427219354.0,ns,665
Parallel Abe,step 2[s = 1],,,,431876724.0,ns,672
Parallel Abe,step 2[s = 1],,,,436180616.0,ns,679
Parallel Abe,step 2[s = 1],,,,439979576.0,ns,686
Parallel Abe,step 2[s = 1],,,,444865632.0,ns,693
Parallel Abe,step 2[s = 1],,,,449580471.0,ns,700
