group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,step 1[s = 1],,,,989182.0,ns,58
Sequential Blind Schnorr,step 1[s = 1],,,,1982633.0,ns,116
Sequential Blind Schnorr,step 1[s = 1],,,,2967493.0,ns,174
Sequential Blind Schnorr,step 1[s = 1],,,,3976206.0,ns,232
Sequential Blind Schnorr,step 1[s = 1],,,,4966707.0,ns,290
Sequential Blind Schnorr,step 1[s = 1],,,,5971549.0,ns,348
Sequential Blind Schnorr,step 1[s = 1],,,,6940690.0,ns,406
Sequential Blind Schnorr,step 1[s = 1],,,,7940591.0,ns,464
Sequential Blind Schnorr,step 1[s = 1],,,,8918713.0,ns,522
Sequential Blind Schnorr,step 1[s = 1],,,,9936374.0,ns,580
Sequential Blind Schnorr,step 1[s = 1],,,,10913055.0,ns,638
Sequential Blind Schnorr,step 1[s = 1],,,,11900427.0,ns,696
Sequential Blind Schnorr,step 1[s = 1],,,,12886458.0,ns,754
Sequential Blind Schnorr,step 1[s = 1],,,,13890490.0,ns,812
Sequential Blind Schnorr,step 1[s = 1],,,,14871531.0,ns,870
Sequential Blind Schnorr,step 1[s = 1],,,,15849391.0,ns,928
Sequential Blind Schnorr,step 1[s = 1],,,,16885885.0,ns,986
Sequential Blind Schnorr,step 1[s = 1],,,,17848064.0,ns,1044
Sequential Blind Schnorr,step 1[s = 1],,,,18838547.0,ns,1102
Sequential Blind Schnorr,step 1[s = 1],,,,19824518.0,ns,1160
Sequential Blind Schnorr,step 1[s = 1],,,,20822229.0,ns,1218
Sequential Blind Schnorr,step 1[s = 1],,,,21841752.0,ns,1276
Sequential Blind Schnorr,step 1[s = 1],,,,22805701.0,ns,1334
Sequential Blind Schnorr,step 1[s = 1],,,,23819263.0,ns,1392
Sequential Blind Schnorr,step 1[s = 1],,,,24782644.0,ns,1450
Sequential Blind Schnorr,step 1[s = 1],,,,25853629.0,ns,1508
Sequential Blind Schnorr,step 1[s = 1],,,,26777277.0,ns,1566
Sequential Blind Schnorr,step 1[s = 1],,,,27790949.0,ns,1624
Sequential Blind Schnorr,step 1[s = 1],,,,28763741.0,ns,1682
Sequential Blind Schnorr,step 1[s = 1],,,,29750131.0,ns,1740
Sequential Blind Schnorr,step 1[s = 1],,,,30741004.0,ns,1798
Sequential Blind Schnorr,step 1[s = 1],,,,31721245.0,ns,1856
Sequential Blind Schnorr,step 1[s = 1],,,,32721745.0,ns,1914
Sequential Blind Schnorr,step 1[s = 1],,,,33715748.0,ns,1972
Sequential Blind Schnorr,step 1[s = 1],,,,34708468.0,ns,2030
Sequential Blind Schnorr,step 1[s = 1],,,,35655520.0,ns,2088
Sequential Blind Schnorr,step 1[s = 1],,,,36700211.0,ns,2146
