group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,step 2[s = 4],,,,1102983.0,ns,3
Sequential Blind Schnorr,step 2[s = 4],,,,2170038.0,ns,6
Sequential Blind Schnorr,step 2[s = 4],,,,3257780.0,ns,9
Sequential Blind Schnorr,step 2[s = 4],,,,4346645.0,ns,12
Sequential Blind Schnorr,step 2[s = 4],,,,5418907.0,ns,15
Sequential Blind Schnorr,step 2[s = 4],,,,6512782.0,ns,18
Sequential Blind Schnorr,step 2[s = 4],,,,7601815.0,ns,21
Sequential Blind Schnorr,step 2[s = 4],,,,8738549.0,ns,24
Sequential Blind Schnorr,step 2[s = 4],,,,9782882.0,ns,27
Sequential Blind Schnorr,step 2[s = 4],,,,10866606.0,ns,30
Sequential Blind Schnorr,step 2[s = 4],,,,12005470.0,ns,33
Sequential Blind Schnorr,step 2[s = 4],,,,13048934.0,ns,36
Sequential Blind Schnorr,step 2[s = 4],,,,14097485.0,ns,39
Sequential Blind Schnorr,step 2[s = 4],,,,15208230.0,ns,42
Sequential Blind Schnorr,step 2[s = 4],,,,16267223.0,ns,45
Sequential Blind Schnorr,step 2[s = 4],,,,17349466.0,ns,48
Sequential Blind Schnorr,step 2[s = 4],,,,18471901.0,ns,51
Sequential Blind Schnorr,step 2[s = 4],,,,19530744.0,ns,54
Sequential Blind Schnorr,step 2[s = 4],,,,20620717.0,ns,57
Sequential Blind Schnorr,step 2[s = 4],,,,21708191.0,ns,60
Sequential Blind Schnorr,step 2[s = 4],,,,22802255.0,ns,63
Sequential Blind Schnorr,step 2[s = 4],,,,23878848.0,ns,66
Sequential Blind Schnorr,step 2[s = 4],,,,24958991.0,ns,69
Sequential Blind Schnorr,step 2[s = 4],,,,26038515.0,ns,72
Sequential Blind Schnorr,step 2[s = 4],,,,27161699.0,ns,75
Sequential Blind Schnorr,step 2[s = 4],,,,28228423.0,ns,78
Sequential Blind Schnorr,step 2[s = 4],,,,29310115.0,ns,81
Sequential Blind Schnorr,step 2[s = 4],,,,30385419.0,ns,84
Sequential Blind Schnorr,step 2[s = 4],,,,31468142.0,ns,87
Sequential Blind Schnorr,step 2[s = 4],,,,32559037.0,ns,90
Sequential Blind Schnorr,step 2[s = 4],,,,33612019.0,ns,93
Sequential Blind Schnorr,step 2[s = 4],,,,34732194.0,ns,96
Sequential Blind Schnorr,step 2[s = 4],,,,35820056.0,ns,99
Sequential Blind Schnorr,step 2[s = 4],,,,36928992.0,ns,102
Sequential Blind Schnorr,step 2[s = 4],,,,37999704.0,ns,105
Sequential Blind Schnorr,step 2[s = 4],,,,39062637.0,ns,108
Sequential Blind Schnorr,step 2[s = 4],,,,40177322.0,ns,111
Sequential Blind Schnorr,step 2[s = 4],,,,41248045.0,ns,114
Sequential Blind Schnorr,step 2[s = 4],,,,42336188.0,ns,117
Sequential Blind Schnorr,step 2[s = 4],,,,43403581.0,ns,120
Sequential Blind Schnorr,step 2[s = 4],,,,44508116.0,ns,123
Sequential Blind Schnorr,step 2[s = 4],,,,45606529.0,ns,126
Sequential Blind Schnorr,step 2[s = 4],,,,46695283.0,ns,129
Sequential Blind Schnorr,step 2[s = 4],,,,47751966.0,ns,132
Sequential Blind Schnorr,step 2[s = 4],,,,48873581.0,ns,135
Sequential Blind Schnorr,step 2[s = 4],,,,49927482.0,ns,138
Sequential Blind Schnorr,step 2[s = 4],,,,51031957.0,ns,141
Sequential Blind Schnorr,step 2[s = 4],,,,52084600.0,ns,144
Sequential Blind Schnorr,step 2[s = 4],,,,53176604.0,ns,147
Sequential Blind Schnorr,step 2[s = 4],,,,54299128.0,ns,150
Sequential Blind Schnorr,step 2[s = 4],,,,55357930.0,ns,153
Sequential Blind Schnorr,step 2[s = 4],,,,56423434.0,ns,156
Sequential Blind Schnorr,step 2[s = 4],,,,57534508.0,ns,159
Sequential Blind Schnorr,step 2[s = 4],,,,58630662.0,ns,162
Sequential Blind Schnorr,step 2[s = 4],,,,59714966.0,ns,165
Sequential Blind Schnorr,step 2[s = 4],,,,60782298.0,ns,168
Sequential Blind Schnorr,step 2[s = 4],,,,61846791.0,ns,171
Sequential Blind Schnorr,step 2[s = 4],,,,62912456.0,ns,174
Sequential Blind Schnorr,step 2[s = 4],,,,64057219.0,ns,177
Sequential Blind Schnorr,step 2[s = 4],,,,65140343.0,ns,180
Sequential Blind Schnorr,step 2[s = 4],,,,66212566.0,ns,183
Sequential Blind Schnorr,step 2[s = 4],,,,67279219.0,ns,186
Sequential Blind Schnorr,step 2[s = 4],,,,68374603.0,ns,189
Sequential Blind Schnorr,step 2[s = 4],,,,69440707.0,ns,192
Sequential Blind Schnorr,step 2[s = 4],,,,70517840.0,ns,195
Sequential Blind Schnorr,step 2[s = 4],,,,71629783.0,ns,198
Sequential Blind Schnorr,step 2[s = 4],,,,72706468.0,ns,201
Sequential Blind Schnorr,step 2[s = 4],,,,73791510.0,ns,204
Sequential Blind Schnorr,step 2[s = 4],,,,74907566.0,ns,207
Sequential Blind Schnorr,step 2[s = 4],,,,76002388.0,ns,210
Sequential Blind Schnorr,step 2[s = 4],,,,77062601.0,ns,213
Sequential Blind Schnorr,step 2[s = 4],,,,78143686.0,ns,216
Sequential Blind Schnorr,step 2[s = 4],,,,79265539.0,ns,219
Sequential Blind Schnorr,step 2[s = 4],,,,80309173.0,ns,222
Sequential Blind Schnorr,step 2[s = 4],,,,81434136.0,ns,225
Sequential Blind Schnorr,step 2[s = 4],,,,82466288.0,ns,228
Sequential Blind Schnorr,step 2[s = 4],,,,83578683.0,ns,231
Sequential Blind Schnorr,step 2[s = 4],,,,84641987.0,ns,234
Sequential Blind Schnorr,step 2[s = 4],,,,85732349.0,ns,237
Sequential Blind Schnorr,step 2[s = 4],,,,86860484.0,ns,240
Sequential Blind Schnorr,step 2[s = 4],,,,87914358.0,ns,243
Sequential Blind Schnorr,step 2[s = 4],,,,88987530.0,ns,246
Sequential Blind Schnorr,step 2[s = 4],,,,90072764.0,ns,249
Sequential Blind Schnorr,step 2[s = 4],,,,91192398.0,ns,252
Sequential Blind Schnorr,step 2[s = 4],,,,92229290.0,ns,255
Sequential Blind Schnorr,step 2[s = 4],,,,93332275.0,ns,258
Sequential Blind Schnorr,step 2[s = 4],,,,96172593.0,ns,261
Sequential Blind Schnorr,step 2[s = 4],,,,95862149.0,ns,264
Sequential Blind Schnorr,step 2[s = 4],,,,96586843.0,ns,267
Sequential Blind Schnorr,step 2[s = 4],,,,97623616.0,ns,270
Sequential Blind Schnorr,step 2[s = 4],,,,98777001.0,ns,273
Sequential Blind Schnorr,step 2[s = 4],,,,99817474.0,ns,276
Sequential Blind Schnorr,step 2[s = 4],,,,100906876.0,ns,279
Sequential Blind Schnorr,step 2[s = 4],,,,101988401.0,ns,282
