group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,408876546.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,397721301.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,406727529.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,403250862.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,394827938.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,415162814.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,397983446.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,395322529.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,401151076.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,401297959.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,407059567.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,402376243.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,397977347.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,404825526.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,407234180.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,407683789.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,402973546.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,419786776.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,412208159.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,404049180.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,409205993.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,400778567.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,401498114.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,405877961.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,403380234.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,402258471.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,398238303.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,420436249.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,408183431.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,407484965.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,406951403.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,421137025.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,418861895.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,408390605.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,406544064.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,414086890.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,405783688.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,408241712.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,409182863.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,405216385.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,410633244.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,408521808.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,412675489.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,417128206.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,404454869.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,401417263.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,407513086.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,410573663.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,415760376.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,407974086.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,410938731.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,414910028.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,411756469.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,421306078.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,419390176.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,399452470.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,410162874.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,413855234.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,407666160.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,408633050.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,412379412.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,408280233.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,421577924.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,408913327.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,397278131.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,403380856.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,403636111.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,416261907.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,402403344.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,405784367.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,416696888.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,416209016.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,409353187.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,405618924.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,404141612.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,416784039.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,401701420.0,ns,1
Parallel Abe,16-core server handling 100 clients at 1ms EIAT,,,,422635547.0,ns,1
