group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,step 3[s = 32],,,,999753.0,ns,163
Sequential Blind Schnorr,step 3[s = 32],,,,1984201.0,ns,326
Sequential Blind Schnorr,step 3[s = 32],,,,2977925.0,ns,489
Sequential Blind Schnorr,step 3[s = 32],,,,3976816.0,ns,652
Sequential Blind Schnorr,step 3[s = 32],,,,4951306.0,ns,815
Sequential Blind Schnorr,step 3[s = 32],,,,5955349.0,ns,978
Sequential Blind Schnorr,step 3[s = 32],,,,6954471.0,ns,1141
Sequential Blind Schnorr,step 3[s = 32],,,,7934930.0,ns,1304
Sequential Blind Schnorr,step 3[s = 32],,,,8933883.0,ns,1467
Sequential Blind Schnorr,step 3[s = 32],,,,9908033.0,ns,1630
Sequential Blind Schnorr,step 3[s = 32],,,,10901046.0,ns,1793
Sequential Blind Schnorr,step 3[s = 32],,,,11899236.0,ns,1956
Sequential Blind Schnorr,step 3[s = 32],,,,12903689.0,ns,2119
Sequential Blind Schnorr,step 3[s = 32],,,,13882109.0,ns,2282
Sequential Blind Schnorr,step 3[s = 32],,,,14895092.0,ns,2445
Sequential Blind Schnorr,step 3[s = 32],,,,15865612.0,ns,2608
Sequential Blind Schnorr,step 3[s = 32],,,,16856183.0,ns,2771
Sequential Blind Schnorr,step 3[s = 32],,,,17867346.0,ns,2934
Sequential Blind Schnorr,step 3[s = 32],,,,18851297.0,ns,3097
Sequential Blind Schnorr,step 3[s = 32],,,,19834678.0,ns,3260
Sequential Blind Schnorr,step 3[s = 32],,,,20833899.0,ns,3423
Sequential Blind Schnorr,step 3[s = 32],,,,21799820.0,ns,3586
Sequential Blind Schnorr,step 3[s = 32],,,,22793392.0,ns,3749
Sequential Blind Schnorr,step 3[s = 32],,,,23785614.0,ns,3912
Sequential Blind Schnorr,step 3[s = 32],,,,24790834.0,ns,4075
Sequential Blind Schnorr,step 3[s = 32],,,,25789486.0,ns,4238
Sequential Blind Schnorr,step 3[s = 32],,,,26756668.0,ns,4401
Sequential Blind Schnorr,step 3[s = 32],,,,27759389.0,ns,4564
Sequential Blind Schnorr,step 3[s = 32],,,,28749980.0,ns,4727
Sequential Blind Schnorr,step 3[s = 32],,,,29733472.0,ns,4890
Sequential Blind Schnorr,step 3[s = 32],,,,30737603.0,ns,5053
Sequential Blind Schnorr,step 3[s = 32],,,,31721264.0,ns,5216
Sequential Blind Schnorr,step 3[s = 32],,,,32716556.0,ns,5379
Sequential Blind Schnorr,step 3[s = 32],,,,33701327.0,ns,5542
Sequential Blind Schnorr,step 3[s = 32],,,,34716669.0,ns,5705
Sequential Blind Schnorr,step 3[s = 32],,,,35704950.0,ns,5868
Sequential Blind Schnorr,step 3[s = 32],,,,36693252.0,ns,6031
Sequential Blind Schnorr,step 3[s = 32],,,,37686703.0,ns,6194
