group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parallel Abe,step 2[s = 8],,,,4528367.0,ns,6
Parallel Abe,step 2[s = 8],,,,9140848.0,ns,12
Parallel Abe,step 2[s = 8],,,,13768867.0,ns,18
Parallel Abe,step 2[s = 8],,,,18269564.0,ns,24
Parallel Abe,step 2[s = 8],,,,22948685.0,ns,30
Parallel Abe,step 2[s = 8],,,,27067014.0,ns,36
Parallel Abe,step 2[s = 8],,,,31773906.0,ns,42
Parallel Abe,step 2[s = 8],,,,36586988.0,ns,48
Parallel Abe,step 2[s = 8],,,,41044116.0,ns,54
Parallel Abe,step 2[s = 8],,,,45839579.0,ns,60
Parallel Abe,step 2[s = 8],,,,49916567.0,ns,66
Parallel Abe,step 2[s = 8],,,,54503916.0,ns,72
Parallel Abe,step 2[s = 8],,,,59442442.0,ns,78
Parallel Abe,step 2[s = 8],,,,63912529.0,ns,84
Parallel Abe,step 2[s = 8],,,,68488667.0,ns,90
Parallel Abe,step 2[s = 8],,,,72947564.0,ns,96
Parallel Abe,step 2[s = 8],,,,77947501.0,ns,102
Parallel Abe,step 2[s = 8],,,,83112764.0,ns,108
Parallel Abe,step 2[s = 8],,,,87387165.0,ns,114
Parallel Abe,step 2[s = 8],,,,91904582.0,ns,120
Parallel Abe,step 2[s = 8],,,,96712977.0,ns,126
Parallel Abe,step 2[s = 8],,,,102040351.0,ns,132
Parallel Abe,step 2[s = 8],,,,105619539.0,ns,138
Parallel Abe,step 2[s = 8],,,,109914091.0,ns,144
Parallel Abe,step 2[s = 8],,,,114612852.0,ns,150
Parallel Abe,step 2[s = 8],,,,118825653.0,ns,156
Parallel Abe,step 2[s = 8],,,,123610317.0,ns,162
Parallel Abe,step 2[s = 8],,,,127962031.0,ns,168
Parallel Abe,step 2[s = 8],,,,132732283.0,ns,174
Parallel Abe,step 2[s = 8],,,,137312672.0,ns,180
Parallel Abe,step 2[s = 8],,,,142071076.0,ns,186
Parallel Abe,step 2[s = 8],,,,146355767.0,ns,192
Parallel Abe,step 2[s = 8],,,,150905026.0,ns,198
Parallel Abe,step 2[s = 8],,,,155447813.0,ns,204
Parallel Abe,step 2[s = 8],,,,160313948.0,ns,210
Parallel Abe,step 2[s = 8],,,,165098182.0,ns,216
Parallel Abe,step 2[s = 8],,,,169871434.0,ns,222
Parallel Abe,step 2[s = 8],,,,174291631.0,ns,228
